Dataset,Task,Gtask,Model,RIER,RDER,Pass1,WithTest,NoTest,MisleadingTest,src,tgt
Avatar,ier,,StarCoder-15.5B,16.86,,,,,,,
Avatar,ier,,StarCoder2-15.5B,30.24,,,,,,,
Avatar,ier,,WizardCoder-15B,19.19,,,,,,,
Avatar,ier,,CodeQwen1.5-7B-Chat,26.16,,,,,,,
Avatar,ier,,DeepSeekCoder-6.7B-base,22.10,,,,,,,
Avatar,ier,,CodeLlama-13B-base,28.49,,,,,,,
MBPP,der,synthesis,GPT-4,,82.62,86.52,,,,,
MBPP,der,synthesis,GPT-3.5,,79.20,80.39,,,,,
MBPP,der,synthesis,Mistral-7B-Instruct-v0.1,,43.50,43.36,,,,,
MBPP,der,synthesis,CodeLlama-13B-instruct,,43.53,56.86,,,,,
MBPP,der,synthesis,DeepSeekCoder-6.7B-instruct,,69.39,72.30,,,,,
MBPP,der,synthesis,Magicoder-S-DS-6.7B,,69.34,70.34,,,,,
MBPP,der,synthesis,StarCoder-15.5B,,56.83,44.85,,,,,
MBPP,der,synthesis,StarCoder2-15.5B,,63.49,61.12,,,,,
MBPP,der,synthesis,WizardCoder-15B,,48.19,61.03,,,,,
MBPP,der,synthesis,CodeQwen1.5-7B-Chat,,65.72,69.01,,,,,
MBPP,der,synthesis,DeepSeekCoder-6.7B-base,,58.98,58.74,,,,,
HumanEval,der,synthesis,GPT-4,,81.40,79.63,,,,,
HumanEval,der,synthesis,GPT-3.5,,74.63,69.75,,,,,
HumanEval,der,synthesis,Mistral-7B-Instruct-v0.1,,34.12,29.94,,,,,
HumanEval,der,synthesis,CodeLlama-13B-instruct,,35.09,43.11,,,,,
HumanEval,der,synthesis,DeepSeekCoder-6.7B-instruct,,54.55,72.46,,,,,
HumanEval,der,synthesis,Magicoder-S-DS-6.7B,,57.58,70.37,,,,,
HumanEval,der,synthesis,StarCoder-15.5B,,58.97,41.98,,,,,
HumanEval,der,synthesis,StarCoder2-15.5B,,45.45,45.06,,,,,
HumanEval,der,synthesis,WizardCoder-15B,,59.50,51.50,,,,,
HumanEval,der,synthesis,CodeQwen1.5-7B-Chat,,71.72,78.70,,,,,
HumanEval,der,synthesis,DeepSeekCoder-6.7B-base,,56.63,39.58,,,,,
HumanEval,der,synthesis,CodeLlama-13B-base,,42.77,38.44,,,,,
Avatar,der,translate,GPT-4,,72.95,55.81,,,,Python,Java
Avatar,der,translate,GPT-3.5,,59.09,51.16,,,,Python,Java
Avatar,der,translate,Mistral-7B-Instruct-v0.1,,21.05,22.09,,,,Python,Java
Avatar,der,translate,CodeLlama-13B-instruct,,29.3,36.05,,,,Python,Java
Avatar,der,translate,DeepSeekCoder-6.7B-instruct,,35.56,52.33,,,,Python,Java
Avatar,der,translate,Magicoder-S-DS-6.7B,,37.21,50.00,,,,Python,Java
Avatar,der,translate,StarCoder-15.5B,,20.59,23.26,,,,Python,Java
Avatar,der,translate,StarCoder2-15.5B,,37.50,60.47,,,,Python,Java
Avatar,der,translate,WizardCoder-15B,,20.59,39.53,,,,Python,Java
Avatar,der,translate,CodeQwen1.5-7B-Chat,,45.32,60.49,,,,Python,Java
Avatar,der,translate,DeepSeekCoder-6.7B-base,,33.57,38.95,,,,Python,Java
Avatar,der,translate,CodeLlama-13B-base,,35.21,28.04,,,,Python,Java
Avatar,der,translate,GPT-4,,59.18,56.98,,,,Java,Python
Avatar,der,translate,GPT-3.5,,49.15,68.60,,,,Java,Python
Avatar,der,translate,Mistral-7B-Instruct-v0.1,,15.38,30.23,,,,Java,Python
Avatar,der,translate,CodeLlama-13B-instruct,,22.00,58.14,,,,Java,Python
Avatar,der,translate,DeepSeekCoder-6.7B-instruct,,25.00,55.81,,,,Java,Python
Avatar,der,translate,Magicoder-S-DS-6.7B,,28.57,65.12,,,,Java,Python
Avatar,der,translate,StarCoder-15.5B,,30.00,39.53,,,,Java,Python
Avatar,der,translate,StarCoder2-15.5B,,40.38,18.60,,,,Java,Python
Avatar,der,translate,WizardCoder-15B,,0,2.33,,,,Java,Python
Avatar,der,translate,CodeQwen1.5-7B-Chat,,32.98,54.88,,,,Java,Python
Avatar,der,translate,DeepSeekCoder-6.7B-base,,30.31,50.03,,,,Java,Python
Avatar,der,translate,CodeLlama-13B-base,,19.21,42.56,,,,Java,Python
CodeNet,der,translate,GPT-4,,82.03,74.85,,,,Python,Java
CodeNet,der,translate,GPT-3.5,,64.24,70.32,,,,Python,Java
CodeNet,der,translate,Mistral-7B-Instruct-v0.1,,41.73,35.13,,,,Python,Java
CodeNet,der,translate,CodeLlama-13B-instruct,,45.81,45.18,,,,Python,Java
CodeNet,der,translate,DeepSeekCoder-6.7B-instruct,,30.72,69.59,,,,Python,Java
CodeNet,der,translate,Magicoder-S-DS-6.7B,,42.11,69.44,,,,Python,Java
CodeNet,der,translate,StarCoder-15.5B,,37.23,47.51,,,,Python,Java
CodeNet,der,translate,StarCoder2-15.5B,,38.76,26.02,,,,Python,Java
CodeNet,der,translate,WizardCoder-15B,,21.43,2.03,,,,Python,Java
CodeNet,der,translate,CodeQwen1.5-7B-Chat,,40.09,57.31,,,,Python,Java
CodeNet,der,translate,GPT-4,,73.67,51.66,,,,Java,Python
CodeNet,der,translate,GPT-3.5,,60.06,52.53,,,,Java,Python
CodeNet,der,translate,Mistral-7B-Instruct-v0.1,,26.63,24.46,,,,Java,Python
CodeNet,der,translate,CodeLlama-13B-instruct,,40.56,37.05,,,,Java,Python
CodeNet,der,translate,DeepSeekCoder-6.7B-instruct,,35.62,44.28,,,,Java,Python
CodeNet,der,translate,Magicoder-S-DS-6.7B,,47.46,45.73,,,,Java,Python
CodeNet,der,translate,StarCoder-15.5B,,40.82,6.95,,,,Java,Python
CodeNet,der,translate,StarCoder2-15.5B,,54.65,38.78,,,,Java,Python
CodeNet,der,translate,WizardCoder-15B,,21.43,2.03,,,,Java,Python
CodeNet,der,translate,CodeQwen1.5-7B-Chat,,27.76,32.01,,,,Java,Python
MBPP,sr,synthesis,GPT-4,,,,90.96,72.13,14.22,,
MBPP,sr,synthesis,GPT-3.5,,,,85.05,78.87,12.99,,
MBPP,sr,synthesis,Mistral-7B-Instruct-v0.1,,,,50.74,48.28,8.58,,
MBPP,sr,synthesis,CodeLlama-13B-instruct,,,,63.73,53.68,10.54,,
MBPP,sr,synthesis,DeepSeekCoder-6.7B-instruct,,,,78.68,67.65,12.01,,
MBPP,sr,synthesis,Magicoder-S-DS-6.7B,,,,75.25,69.61,9.30,,
MBPP,sr,synthesis,StarCoder-15.5B,,,,51.47,41.67,10.78,,
MBPP,sr,synthesis,StarCoder2-15.5B,,,,66.98,54.80,11.52,,
MBPP,sr,synthesis,WizardCoder-15B,,,,67.87,52.21,12.25,,
MBPP,sr,synthesis,CodeQwen1.5-7B-Chat,,,,80.31,72.03,12.99,,
MBPP,sr,synthesis,DeepSeekCoder-6.7B-base,,,,68.89,60.30,9.30,,
MBPP,sr,synthesis,CodeLlama-13B-base,,,,52.87,42.34,8.09,,
HumanEval,sr,synthesis,GPT-4,,,,91.98,88.27,17.28,,
HumanEval,sr,synthesis,GPT-3.5,,,,74.07,70.37,16.67,,
HumanEval,sr,synthesis,Mistral-7B-Instruct-v0.1,,,,57.41,54.32,9.58,,
HumanEval,sr,synthesis,CodeLlama-13B-instruct,,,,70.37,65.43,11.98,,
HumanEval,sr,synthesis,DeepSeekCoder-6.7B-instruct,,,,87.04,82.10,12.96,,
HumanEval,sr,synthesis,Magicoder-S-DS-6.7B,,,,81.48,80.86,17.90,,
HumanEval,sr,synthesis,StarCoder-15.5B,,,,56.17,38.89,41.46,,
HumanEval,sr,synthesis,StarCoder2-15.5B,,,,58.64,41.46,12.96,,
HumanEval,sr,synthesis,WizardCoder-15B,,,,76.54,76.54,17.28,,
HumanEval,sr,synthesis,CodeQwen1.5-7B-Chat,,,,88.42,76.31,15.57,,
HumanEval,sr,synthesis,DeepSeekCoder-6.7B-base,,,,68.34,62.12,13.43,,
HumanEval,sr,synthesis,CodeLlama-13B-base,,,,59.31,48.32,10.03,,
CodeNet,sr,translate,GPT-4,,,,74.82,72.70,4.63,Python,Java
CodeNet,sr,translate,GPT-3.5,,,,,,,Python,Java
CodeNet,sr,translate,Mistral-7B-Instruct-v0.1,,,,,,,Python,Java
CodeNet,sr,translate,CodeLlama-13B-instruct,,,,,,,Python,Java
CodeNet,sr,translate,DeepSeekCoder-6.7B-instruct,,,,,,,Python,Java
CodeNet,sr,translate,Magicoder-S-DS-6.7B,,,,,,,Python,Java
CodeNet,sr,translate,StarCoder-15.5B,,,,,,,Python,Java
CodeNet,sr,translate,StarCoder2-15.5B,,,,,,,Python,Java
CodeNet,sr,translate,WizardCoder-15B,,,,,,,Python,Java
CodeNet,sr,translate,CodeQwen1.5-7B-Chat,,,,,,,Python,Java
CodeNet,sr,translate,DeepSeekCoder-6.7B-base,,,,,,,Python,Java
CodeNet,sr,translate,CodeLlama-13B-base,,,,,,,Python,Java
,,,,,,,,,,,
,,,,,,,,,,,
